Taxa,Emergence (MYA)
Cellular organisms,3500
Eukaryota,2100
Opisthokonta,1000
Metazoa,770
Eumetazoa,700
Bilateria,680
Deuterostomia,630
Chordata,520
Vertebrata,485
Gnathostomata,440
Euteleostomi,420
Sarcopterygii,410
Tetrapoda,370
Amniota,310
Mammalia,220
Theria,160
Eutheria,125
Boreoeutheria,100
Euarchontoglires,90
Primates,66
Haplorhini,55
Simiiformes,40
Catarrhini,25
Hominoidea,15
Hominidae,10
Homoninae,6
Homo sapiens,0.3
